"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1440","GO:0006399",0.0282220404151754,0.979997556220348,81,201,"tRNA metabolic process","BP"
"14298","GO:2000008",0.0283481672697473,0.986778807571617,21,41,"regulation of protein localization to cell surface","BP"
"5924","GO:0038093",0.0283771938385817,0.984904550191312,29,59,"Fc receptor signaling pathway","BP"
"13362","GO:1904154",0.0283802761462735,1,3,3,"positive regulation of retrograde protein transport, ER to cytosol","BP"
"7124","GO:0046016",0.0286465340285731,0.997450798105212,5,6,"positive regulation of transcription by glucose","BP"
"12782","GO:1902894",0.0286833427237257,0.988881321705561,15,27,"negative regulation of miRNA transcription","BP"
"2774","GO:0010762",0.0288240416426591,0.986924910171148,20,38,"regulation of fibroblast migration","BP"
"7441","GO:0046827",0.0288282805681327,0.990820210854536,11,19,"positive regulation of protein export from nucleus","BP"
"1869","GO:0007059",0.0288323573705622,0.977189088984782,171,427,"chromosome segregation","BP"
"7667","GO:0048534",0.0290066047875855,0.981823590959964,48,106,"hematopoietic or lymphoid organ development","BP"
"5106","GO:0033622",0.0290206009457352,0.988730458240045,15,27,"integrin activation","BP"
"13062","GO:1903539",0.0290928490535014,0.984737175982981,28,56,"protein localization to postsynaptic membrane","BP"
"2209","GO:0008631",0.0291271566218873,0.984269757330394,29,62,"intrinsic apoptotic signaling pathway in response to oxidative stress","BP"
"1412","GO:0006353",0.0291979956617309,0.989331960742176,14,24,"DNA-templated transcription termination","BP"
"6348","GO:0043011",0.0292202885125883,0.990092602373354,12,21,"myeloid dendritic cell differentiation","BP"
"8452","GO:0051960",0.0293911990232662,0.976516483709263,189,457,"regulation of nervous system development","BP"
"4408","GO:0031665",0.0294386362211157,0.991601073565725,9,16,"negative regulation of lipopolysaccharide-mediated signaling pathway","BP"
"6782","GO:0045069",0.0294504577620249,0.982851024078509,36,80,"regulation of viral genome replication","BP"
"12348","GO:1901624",0.0294518598226247,1,3,3,"negative regulation of lymphocyte chemotaxis","BP"
"5640","GO:0035751",0.029482276531418,0.987769499597842,16,31,"regulation of lysosomal lumen pH","BP"
"12719","GO:1902686",0.0295226928146806,0.986502450018032,19,39,"mitochondrial outer membrane permeabilization involved in programmed cell death","BP"
"4495","GO:0032205",0.0295528991833874,0.986392915530633,21,39,"negative regulation of telomere maintenance","BP"
"11009","GO:0097028",0.0295776616684689,0.985336466470205,23,48,"dendritic cell differentiation","BP"
"3481","GO:0019042",0.029672646307526,0.997329764053179,5,6,"viral latency","BP"
"13230","GO:1903898",0.0296766151732976,0.993249699980316,8,12,"negative regulation of PERK-mediated unfolded protein response","BP"
"8305","GO:0051604",0.0297643634014147,0.975539387603201,231,622,"protein maturation","BP"
"2058","GO:0007517",0.0298317168550531,0.976785798750575,150,365,"muscle organ development","BP"
"418","GO:0001999",0.0298827084153322,0.995590550411517,6,8,"renal response to blood flow involved in circulatory renin-angiotensin regulation of systemic arterial blood pressure","BP"
"419","GO:0002001",0.0298827084153322,0.995590550411517,6,8,"renin secretion into blood stream","BP"
"10913","GO:0090360",0.0299205260841521,1,3,3,"platelet-derived growth factor production","BP"
"10914","GO:0090361",0.0299205260841521,1,3,3,"regulation of platelet-derived growth factor production","BP"
"2249","GO:0009101",0.0299279749163143,0.977457144425835,118,286,"glycoprotein biosynthetic process","BP"
"3071","GO:0015669",0.0300577191247507,0.989075869476725,12,24,"gas transport","BP"
"8788","GO:0060369",0.0300859281095251,0.997280597628395,5,6,"positive regulation of Fc receptor mediated stimulatory signaling pathway","BP"
"8245","GO:0051452",0.0302901408409069,0.984081240945252,27,56,"intracellular pH reduction","BP"
"12956","GO:1903322",0.0303123204457801,0.98007416160889,56,131,"positive regulation of protein modification by small protein conjugation or removal","BP"
"8191","GO:0051301",0.0303594147263221,0.974884579987108,254,647,"cell division","BP"
"5188","GO:0034134",0.0303902005701817,0.990897863012744,10,17,"toll-like receptor 2 signaling pathway","BP"
"3622","GO:0019646",0.0303927005953844,0.982295401609693,31,89,"aerobic electron transport chain","BP"
"1490","GO:0006473",0.0304143397500954,0.985977795479382,20,39,"protein acetylation","BP"
"674","GO:0002455",0.030435509186162,0.984471338158923,24,52,"humoral immune response mediated by circulating immunoglobulin","BP"
"6040","GO:0042058",0.0305518492697536,0.982920718885706,32,68,"regulation of epidermal growth factor receptor signaling pathway","BP"
"3971","GO:0022408",0.0305607491790116,0.978074426616408,86,208,"negative regulation of cell-cell adhesion","BP"
"2733","GO:0010714",0.0306694116708924,0.988507113402098,13,25,"positive regulation of collagen metabolic process","BP"
"6355","GO:0043039",0.0307438138767589,0.985131668255845,22,44,"tRNA aminoacylation","BP"
"1744","GO:0006839",0.0307705261716616,0.981258687673684,41,94,"mitochondrial transport","BP"
"1776","GO:0006893",0.0308364965943079,0.982351296344308,35,73,"Golgi to plasma membrane transport","BP"
"585","GO:0002322",0.030890410664223,0.997184211353103,5,6,"B cell proliferation involved in immune response","BP"
"672","GO:0002450",0.0309977026490907,1,3,3,"B cell antigen processing and presentation","BP"
"9429","GO:0061795",0.0310302654354723,0.992298730926736,8,13,"Golgi lumen acidification","BP"
"1519","GO:0006517",0.0310963792915644,0.989656445044709,12,20,"protein deglycosylation","BP"
"5667","GO:0035811",0.0313805523298796,0.997506427968119,4,5,"negative regulation of urine volume","BP"
"14269","GO:1990868",0.0314160856044529,0.980797642880854,41,95,"response to chemokine","BP"
"14270","GO:1990869",0.0314160856044529,0.980797642880854,41,95,"cellular response to chemokine","BP"
"12915","GO:1903232",0.0315096929654284,0.989800644997194,11,19,"melanosome assembly","BP"
"603","GO:0002347",0.0315756499742647,0.983985281045166,24,50,"response to tumor cell","BP"
"3948","GO:0021999",0.0317262618592069,0.997083124881255,5,6,"neural plate anterior/posterior regionalization","BP"
"6730","GO:0044837",0.0320609801560947,0.993747123660731,7,10,"actomyosin contractile ring organization","BP"
"8120","GO:0051152",0.0321987912139392,0.990671391325739,10,16,"positive regulation of smooth muscle cell differentiation","BP"
"6686","GO:0044565",0.032299198794464,1,3,3,"dendritic cell proliferation","BP"
"826","GO:0002706",0.0324177711193785,0.976795492077715,82,203,"regulation of lymphocyte mediated immunity","BP"
"4906","GO:0032956",0.0324651126136328,0.974775625115163,145,349,"regulation of actin cytoskeleton organization","BP"
"5824","GO:0036293",0.0325285077000912,0.975080896580842,128,316,"response to decreased oxygen levels","BP"
"11912","GO:0150147",0.0325558294692629,0.995079518239478,6,8,"cell-cell junction disassembly","BP"
"5538","GO:0035520",0.0325825871525322,0.994706089839603,7,9,"monoubiquitinated protein deubiquitination","BP"
"11586","GO:0120032",0.0326898879312739,0.976435567461139,89,206,"regulation of plasma membrane bounded cell projection assembly","BP"
"10954","GO:0090559",0.0326940483273545,0.981650527151248,31,68,"regulation of membrane permeability","BP"
"7008","GO:0045807",0.032707090917351,0.977515340702822,67,160,"positive regulation of endocytosis","BP"
"85","GO:0000429",0.0327396276479702,0.996959300111779,5,6,"carbon catabolite regulation of transcription from RNA polymerase II promoter","BP"
"90","GO:0000436",0.0327396276479702,0.996959300111779,5,6,"carbon catabolite activation of transcription from RNA polymerase II promoter","BP"
"5914","GO:0038061",0.0329554984785188,0.978206656517661,56,131,"non-canonical NF-kappaB signal transduction","BP"
"2390","GO:0009303",0.0330131986672187,0.984068184707579,21,43,"rRNA transcription","BP"
"353","GO:0001909",0.0330966950758001,0.977502562288347,62,152,"leukocyte mediated cytotoxicity","BP"
"7734","GO:0048666",0.0331183886024612,0.971160909397978,475,1201,"neuron development","BP"
"12947","GO:1903311",0.0331369428286634,0.974529963771126,131,321,"regulation of mRNA metabolic process","BP"
"10723","GO:0090063",0.0332985083492792,0.994935168102058,6,8,"positive regulation of microtubule nucleation","BP"
"377","GO:0001944",0.033370570045921,0.971895031806494,302,764,"vasculature development","BP"
"6548","GO:0043523",0.0333795861794082,0.975132886437752,106,255,"regulation of neuron apoptotic process","BP"
"9716","GO:0070488",0.033455345246428,1,2,2,"neutrophil aggregation","BP"
"2465","GO:0009653",0.033527135312632,0.969537643345988,1047,2749,"anatomical structure morphogenesis","BP"
"12857","GO:1903051",0.0335668286602333,0.980033496648147,37,83,"negative regulation of proteolysis involved in protein catabolic process","BP"
"9184","GO:0061044",0.0335992661058271,0.997263750596699,4,5,"negative regulation of vascular wound healing","BP"
"4048","GO:0030167",0.0336420602335609,0.989720645899523,10,17,"proteoglycan catabolic process","BP"
"4918","GO:0032970",0.0337017218753709,0.9733962381298,162,393,"regulation of actin filament-based process","BP"
"4409","GO:0031666",0.0337460467643146,0.992550825053243,7,11,"positive regulation of lipopolysaccharide-mediated signaling pathway","BP"
"5010","GO:0033211",0.0337629803790454,0.994844378732727,6,8,"adiponectin-activated signaling pathway","BP"
"1922","GO:0007173",0.0338989367455043,0.977772172921729,55,123,"epidermal growth factor receptor signaling pathway","BP"
"7559","GO:0048207",0.0339039679771875,0.987083632779557,13,25,"vesicle targeting, rough ER to cis-Golgi","BP"
"7560","GO:0048208",0.0339039679771875,0.987083632779557,13,25,"COPII vesicle coating","BP"
"8411","GO:0051898",0.0339645975649413,0.981172578634942,30,64,"negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","BP"
"9714","GO:0070486",0.0340156417356489,0.991381025327135,8,13,"leukocyte aggregation","BP"
"4661","GO:0032502",0.0341131479715444,0.968230340260208,2417,6625,"developmental process","BP"
